store,name,price
Tesco,Clipper Organic Everyday Tea Bags 80Pack 232G,£3.55
Tesco,Clipper Classic Everyday Tea Bags 80Pk 232G,£3.55
Tesco,Yorkshire Tea 210 Tea Bags 656G,£5.49
Tesco,Yorkshire 40 Tea Bags 125G,£1.75
Tesco,Tetley 240 Tea Bags 750G,£4.49
Tesco,Tetley Softpack 80 Tea Bags 250G,£2.85
Tesco,Pg Tips 210 Tea Bags 609G,£5.49
Tesco,PG Tips 80 Original Black Tea Bags 232g,£3.00
Tesco,Yorkshire 80 Teabags 250G,£3.30
Tesco,Tesco 80 Teabags 250G,£1.25
Tesco,Tesco Lemon & Ginger 40 Tea Bags 80G,£1.70
Tesco,Stockwell & Co 80 Tea Bags 200G,£0.87
Tesco,Tesco Finest English Breakfast 100 Tea Bags 250G,£2.60
Tesco,Tesco Peppermint 40 Tea Bags 60G,£1.70
Tesco,Yorkshire Decaffeinated 160 Tea Bags 500G,£5.85
Tesco,PG Tips 40 Original Black Tea Bags 116g,£1.70
Tesco,Yorkshire Tea Malty Biscuit Brew 40 Tea Bags 112G,£2.30
Tesco,Twinings 80 English Breakfast T Bags 200G,£5.50
Tesco,Tesco Red Berries 40 Tea Bags 120G,£1.70
Tesco,Twinings Camomile & Honey 20 Tea Bags 30G,£2.50
Tesco,Pukka Organic Three Mint 20 Tea Bags 32G,£4.75
Tesco,Tesco Sleep 20 Tea Bags 40g,£1.50
Tesco,Tetley Original Tea Bags 600 Pack 1.875Kg,£11.00
Tesco,Twinings Everyday 80 Teabags 232G,£5.50
